Company,Current Price,Daily Change,Close Price,Market Cap,Page Number,Stock Rank,Source
Sun Pharma Inds.,"₹1,677.90",-15.20(0.90%),"₹1,696.60","₹4,07,083",1,1,Groww
Mahindra & Mahindra,"₹3,209.70",-12.60(0.39%),"₹3,256.50","₹4,04,905",1,2,Groww
Titan Co,"₹4,447.00",-14.40(0.32%),"₹4,522.20","₹4,01,585",1,3,Groww
HCL Tech.,"₹1,433.60",-16.60(1.14%),"₹1,451.30","₹3,93,834",1,4,Groww
NTPC,₹389.15,-1.65(0.42%),₹392.60,"₹3,80,739",1,5,Groww
Kotak Mahindra Bank,₹383.15,4.00(1.05%),₹382.40,"₹3,80,203",1,6,Groww
ITC,₹307.25,3.85(1.27%),₹302.05,"₹3,78,515",1,7,Groww
ONGC,₹283.85,1.10(0.39%),₹287.60,"₹3,61,745",1,8,Groww
Adani Power,₹191.46,-1.73(0.90%),₹183.43,"₹3,53,488",1,9,Groww
Adani Ports &Special,"₹1,556.20",6.40(0.41%),"₹1,511.80","₹3,48,957",1,10,Groww
UltraTech Cement,"₹11,889.00",63.00(0.53%),"₹11,785.00","₹3,46,830",1,11,Groww
Bharat Electronics,₹460.25,4.60(1.01%),₹447.65,"₹3,27,112",1,12,Groww
Vedanta,₹780.05,-2.80(0.36%),₹766.05,"₹2,99,496",1,13,Groww
JSW Steel,"₹1,223.00",8.10(0.67%),"₹1,218.60","₹2,97,917",1,14,Groww
Bajaj Finserv,"₹1,830.40",0.50(0.03%),"₹1,825.80","₹2,92,108",1,15,Groww
Avenue Supermarts,"₹4,597.00",168.70(3.81%),"₹4,473.30","₹2,91,415",2,16,Groww
Power Grid Corp,₹315.15,2.90(0.93%),₹312.45,"₹2,90,783",2,17,Groww
HAL,"₹4,363.80",0.40(0.01%),"₹4,239.20","₹2,83,533",2,18,Groww
Adani Enterprises,"₹2,189.20",-14.50(0.66%),"₹2,144.40","₹2,77,136",2,19,Groww
